time,iteration,cost, 
0.0114705,0,1.30075e+06, 
1.15568,1,1.30075e+06, 
1.22385,2,1.30075e+06, 
1.31277,3,1.30075e+06, 
1.37367,4,1.30075e+06, 
1.46711,5,1.30075e+06, 
1.54373,6,1.30075e+06, 
1.63995,7,20.0466, 
1.71832,8,20.0466, 
1.81989,9,20.0466, 
1.92958,10,18.8949, 
2.05504,11,18.8949, 
2.2924,12,18.8949, 
2.48209,13,18.8949, 
2.63828,14,18.8949, 
2.87898,15,18.8949, 
3.08128,16,18.8949, 
3.27987,17,18.8949, 
3.54088,18,16.6974, 
3.88772,19,16.6293, 
4.16148,20,16.6293, 
4.53511,21,16.2768, 
4.86809,22,16.2648, 
time,iteration,cost, 
0.00843866,0,1.30075e+06, 
0.149257,1,1.30075e+06, 
0.256605,2,1.30075e+06, 
0.319092,3,17.084, 
0.399096,4,17.084, 
0.500238,5,16.5806, 
0.623778,6,16.5806, 
0.783125,7,15.996, 
0.938881,8,12.7698, 
1.11849,9,12.7698, 
1.28487,10,12.7698, 
1.45033,11,12.7698, 
1.66008,12,12.7698, 
1.87317,13,12.7698, 
2.05858,14,12.7698, 
2.35799,15,12.0814, 
2.61007,16,12.0814, 
2.933,17,12.0814, 
3.2193,18,12.0814, 
3.5065,19,12.0814, 
3.76087,20,12.0814, 
3.94711,21,12.0814, 
4.17199,22,12.0814, 
4.4329,23,12.0814, 
4.76526,24,12.0814, 
time,iteration,cost, 
0.00808597,0,1.30075e+06, 
0.140798,1,1.30075e+06, 
0.203903,2,1.30075e+06, 
0.276368,3,1.30075e+06, 
0.351314,4,1.30075e+06, 
0.425029,5,1.30075e+06, 
0.509581,6,1.30075e+06, 
0.587255,7,1.30075e+06, 
0.69309,8,1.30075e+06, 
0.803863,9,1.30075e+06, 
0.923385,10,1.30075e+06, 
1.02703,11,1.30075e+06, 
1.15712,12,1.30075e+06, 
1.26396,13,1.30075e+06, 
1.39277,14,1.30075e+06, 
1.52487,15,1.30075e+06, 
1.64103,16,1.30075e+06, 
1.75193,17,1.30075e+06, 
1.87594,18,1.30075e+06, 
2.00129,19,1.30075e+06, 
2.13385,20,1.30075e+06, 
2.32415,21,1.30075e+06, 
2.47618,22,19.5002, 
2.68533,23,19.5002, 
2.87463,24,19.4949, 
3.06456,25,19.4949, 
3.2383,26,19.4949, 
3.55345,27,19.0261, 
3.73466,28,19.0261, 
4.00766,29,19.0261, 
4.29806,30,19.0261, 
4.54974,31,19.0261, 
4.82079,32,19.0261, 
time,iteration,cost, 
0.00832652,0,1.30075e+06, 
0.167467,1,1.30075e+06, 
0.227916,2,1.30075e+06, 
0.309942,3,13.0225, 
0.421939,4,13.0119, 
0.543056,5,13.0119, 
0.649514,6,13.0119, 
0.773574,7,13.0119, 
0.900538,8,13.0119, 
1.02128,9,13.0119, 
1.15756,10,11.8072, 
1.37199,11,11.8072, 
1.56766,12,11.8072, 
1.74652,13,11.8072, 
1.91318,14,11.8072, 
2.05389,15,11.8072, 
2.21791,16,11.8072, 
2.57847,17,11.8072, 
2.84816,18,11.8072, 
3.07827,19,11.8072, 
3.34624,20,11.8072, 
3.61875,21,11.8072, 
3.8816,22,11.8072, 
4.0854,23,11.8072, 
4.47719,24,11.8072, 
4.78933,25,11.8072, 
time,iteration,cost, 
0.00881414,0,1.30075e+06, 
0.142047,1,1.30075e+06, 
0.205687,2,1.30075e+06, 
0.277887,3,1.30075e+06, 
